sender,sentences
Visitor,ممكن اعرف موعد اقرب رحلة الى مصر من مطار دمشق استطيع الحجز بها
Gemma,مصر ليست من وجهات شركتنا
Visitor,شكرا جزيلا
Gemma,اهلا و سهلا
,_______________________________
Gemma,كيف يمكننا المساعدة؟
Visitor,من فضلك غم حاول شوف الرحلات المتوفرة من القاهرة الى سوريا عن طريق الموقع
Visitor,لكن ما ظهر بالخيارات القاهرة او مصر
Gemma,مصر ليست من وجهات شركتنا
Visitor,لا ذهابا ولا ايابا ولا شي صحيح ؟
Visitor,لأن بعض المكاتب في حمص مكتوب على واجهتها اجنحة الشام
Gemma,لا يوجد عندنا اي رحلات من و الى مصر
Visitor,فاعتقدت انها تابعة لاجنحة الشام
Gemma,مكاتب الحجز يكون لديها رحلات لاكثر من شركة
,_______________________________
Visitor,السلام عليكم رحمة الله وبركاته
Gemma,و عليكم السلام
Visitor,انا احاول احجز لكن موقع فاتورة مايشتغل للدفع؟؟؟
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Gemma,و بلد التواجد
Visitor,والحين احاول اسجل يقولي مرة ثانية يقولي passengers name on flight segment
Visitor,الى سوريا
Gemma,للاستفادة من طريقة الدفع الالكترونية fatoraيجب ان يكون المسافر سوري و بلد الانطلاق للرحلة سورية
Visitor,مافي طريقة للدفع بالKnet
Gemma,و الدفع يكون عبر بوابة الدفع الالكتروني Fatora بوجود بطاقة حساب بنكي لديكم بأحد البنوك التالية :
Visitor,# البنك التجاري في سوريا
Visitor,# بنك سورية و الخليج
Visitor,# بنك الشام
Visitor,# البنك الاسلامي السوري الدولي
Gemma,للدفع بال كي نت يجب الحجز عن طريق موقع سفر
Gemma,عفوا موقع سوق سفر
Gemma,و لكن حاليا لا يمكن القيام بأي حجز جديد باي طريقة حتى انتهاء مهلة الدفع للحجز الحالي
Gemma,و عادة يتم تزويدكم بمدتها مع رقم الحجز في آخر مرحلة للحجز
Gemma,عليكم الانتظار لانتهاء المهلة و بعدها الحجز اما عن طريق موفع سوق سفر و الدفع بالكي نت
Gemma,او عن طريق موقعنا و الدفع نقدي عند وكيلنا في الكويت
Gemma,او من مكتب وكيلنا مباشرة
,_______________________________
Visitor,انا كنت على متن الحلة المتجهة من دمشق الى اربيل وصلت الرحلة منذ نصف ساعة
Visitor,لكن للاسف لم اجد امتعتي ولا اي احد من المسافرين على متن الطائرة وجد امتعته
Gemma,نأسف لما حصل معكم و لضمان راحة مسافرينا الكرام يرجى ممن فقد حقيبته او تأخر استلام حقيبته التواصل مع مسؤول المفقودات في مطار دمشق على رقم الواتس اب / 00963958005524 / و تزويده بصورة عن الشكوى المقدمة في المطار الذي فقدت فيه الحقيبة و صورة عن تذكرة سفركم مبيناً فيها رقم الرحلة و صورة عن الحقيبة ان أمكن مع لونها و صورة عن تاغ الحقيبة مع اسم المسافر و رقم هاتفه للتواصل
Visitor,شكرا للرد
Gemma,اهلا و سهلا
,_______________________________
Visitor,ممكن من خلال اجنحة الشام ارسال مستندات من دمشق إلى اربيل ؟
Visitor,اهلا بك
Gemma,ليس لدينا خدمات شحن أوراق بين سوريا و أربيل
Visitor,تمام شكرا
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,اذ سمحت اريد راقم هاتف لا توصل معكون تحياتي مجد
Gemma,في دمشق؟
Gemma,يمكنكم التواصل مع مكتبنا في حلب - فندق الشيراتون  على الرقم / 00963212116855 / أو / 00963219211 / 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9  / حتى الساعة / 17 /
Visitor,شكرا الكم
Visitor,بس هذ راقم
Gemma,اهلا و سهلا
Visitor,لا يوجد الواتس
Gemma,عذرا لا يوجد
Gemma,و التواصل خلال اوقات الدوام
Visitor,مافي ايه مشكلة
Visitor,بس حت اوقات الدوام
Visitor,اخي حضرتك ما فهمت علي
Visitor,عم اقول حت اوقت الدوام مافي حد عم يراد
Visitor,اذ في غير هذ راقم
Gemma,يمكن مراجعة المكتب
Visitor,عذرا لا يوجد الا هذه الارقام للتواصل
Visitor,انا موجود في المانيا
Gemma,يمكن لشخص من طرفكم مراجعة المكتب
Visitor,في راقم ارضي
Gemma,الارقام المرسلة كلها ارقام ارضية
Visitor,اوك شكرا على خدمتك
Gemma,اهلا و سهلا
Gemma,بأمان الله سيد مجد
,_______________________________
Visitor,سلام عليكم ورحمة الله وبركاته اخوي
Gemma,و عليكم السلام
,_______________________________
Visitor,ممكن معلومات عن الوزن المسموح
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Gemma,من اين سفركم و الى اين
,_______________________________
Visitor,ممكن معلومات عن الوزن المسموح
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
,_______________________________
Visitor,يعطيك العافيه بدي سافر بكوا ع الشارقه بعد الساعه 2 شو الخيارات المتاحه
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,الرحلات متوفرة بشكل يومي و لكن الحجز حسب توفر الاماكن
Gemma,و هذا يحدد في المكتب
Gemma,او للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,يوجد غدا رحلتين من دمشق الى الشارقة
Visitor,الاقلاع من دمشق الساعة 1:15 فجرا و الوصول الساعة 5:30 صباحا
Visitor,الاقلاع من دمشق الساهة 10:45 و الوصول الى الشارقة الساعة 15:00
Visitor,الاقلاع من دمشق الساهة 10:45 و الوصول الى الشارقة الساعة 15:00
,_______________________________
Visitor,تغيير الحجز
Gemma,تغيير موعد السفر؟
Gemma,عليكم التواصل مع المكتب للتاكد من توفر اماكن بالتاريخ المطلوب او الاقرب له و دفع رسوم التغيير
Visitor,لا يرد على الهاتف ما هو
Visitor,وسفري بكرا
