sender,sentences
,_______________________________
Visitor,طيارة اليوم الشارقة دمشق
Visitor,ايمت بتوصل لنكار الشام
Gemma,هل لديكم رقم حجز؟
Visitor,عم بسأل ولادي طلعو من مطار الشارقة الى مطار الشام و لغاية الان لم يصلو
Visitor,الاقلاع من المفترض السابعة مساء بتوقيت الشارقة من المفترض تصل من اكثر من ساعتين
Gemma,الطائرة التي أقلعت من الشارقة الساعة 20:28 وصلت الى مطار دمشق الساعة 22:21
Visitor,يعني وصلت ةلطيارة الساعة 22.21
Visitor,رقم الرحلة 6q744
,_______________________________
Visitor,لو سمحت ممكن اعرف اذا في طيران دمشق تركيا؟ أو إلى أي بلد اوروبي؟
Gemma,رحلاتنا المتوفرة ذهاب فقط من دمشق الى اسطنبول ترانزيت عن طريق بيروت كل يوم ثلاثاء
Visitor,فقط ذهاب؟ طيب تركيا دمشق؟
Gemma,لا يوجد اياب
Visitor,خسارة. في أمل؟
Gemma,للأسف حاليا لا يوجد موعد لتوفر رحلات اياب
Visitor,هل يوجد طيران من أي بلد أوربي إلى دمشق؟
Gemma,عذرا لا يوجد
Visitor,شكرا جزيلا
Gemma,اهلا و سهلا
,_______________________________
Visitor,لو سمحت بقدر احجز تذكرو اونلاين؟
Gemma,ما هو بلد الانطلاق و الوصول للرحلة ؟
Visitor,في طيرات لأي بلد أوروبي؟
Gemma,الوجهة المطلوبة غير متوفرة
,_______________________________
Visitor,اريد ان احجز رحلة طيران من بيروت إلى دمشق، وأريد الدفع إلكترونيا،  لم استطيع ان احجز
Visitor,اريد ان احجز رحلة طيران من بيروت إلى دمشق، وأريد الدفع إلكترونيا،  لم استطيع ان احجز
Gemma,يمكنكم اذا أردتم الحجز لرحلاتنا المباشرة و الدفع بالبطاقة الائتمانية عن طريق أحد المواقع التالية :
Visitor,ما الفرق بين هذه المواقع ؟ وايهما الأفضل
Gemma,يمكنكم اختيار الاسهل لكم
Gemma,الامر يعود لكم
Gemma,الرحلات كل يوم اربعاء
Visitor,حسنا ،شكرا لك على المساعده
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,مسا الخير
Gemma,مساء النور
Visitor,هي يوجد رحلات من سوريا الى الرياض ؟
Gemma,نعم من دمشق الى الرياض ترانزيت عن طريق الكويت
Gemma,كل احد و ثلاثاء و جمعة
Visitor,في باخر الشهر الرابع  ؟
Gemma,التفاصيل في المكتب
Gemma,تريدون مكتب دمشق ام الرياض
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في الرياض :
Visitor,# مكتب لمار للسفر - الرياض - الفرع الرئيسي - حي الورود - شارع العروبة - هاتف / 00966114193222 /
Visitor,# مكتب الشاهين للسياحة و السفر - الرياض - شارع الملك فهد - العليا - هاتف / 00966114651115 / او  / 00966554798145 / او / 00966506210409 / او  / 00966566660260 / 
Visitor,# مكتب عطلاتي غير للسياحة و السفر - الرياض - حي النخيل - شارع سالم بن معقل - جانب حلويات اوبرا - هاتف / 00966538004840 / 
Visitor,# مقر العالم للسفريات - الرياض - حي العليا - شارع موسى بن نصير - عمائر السيريكون رقم / 2 / - الدور الأرضي / 00966114818619 /
Visitor,# آفاق دمشق للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966568709247 / أو / 00966112264774 / 
Visitor,# أجنحة الدولية  للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966540822226 / أو / 00966542548964 / أو / 00966112266609 /
Visitor,# وكالة تاج الماسة للسفر و السياحة - حي النهضة - الروضة - تقاطع شارع الأمير بندر مع سلمان الفارسي - هاتف / 00966112314145 / أو / 00966543738539 / أو / 00966550442102 / 
Visitor,# أبراج الشموخ - حي السويدي - الدائري الرابع - هاتف / 00966534776209 / أو / 00966114535981 /
Visitor,# وكالة الدليل للسفر و السياحة - شارع الأمير بندر - هاتف / 00966546114607 /
Visitor,تمام شكرا لك
Gemma,اهلا و سهلا
,_______________________________
Visitor,لو سمحت اريد تذكرة على خطوطكم الخميس16مارس دمشق الشارقة والعودة23 مارس الشارقة دمشق كم السعر ولكم الشكر
,_______________________________
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
Visitor,تمام شكرا
Gemma,الرحلات يومية و الحجز حسب توفر الاماكن
Visitor,يعطيك العافيه
Gemma,اهلا و سهلا
,_______________________________
Visitor,بدي احجز
Visitor,من الكويت الى دمشق تاريخ 25/6
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
,_______________________________
Visitor,Nayef  AL Faleh: سلام عليكم
Visitor,Nayef  AL Faleh: لو سمحت
Gemma,و عليكم السلام
,_______________________________
,_______________________________
Visitor,ممكن سعر التذكره من بغداد الى دمشق يوم ٢٠-٣-٢٠٢٣
,_______________________________
Visitor,من فضلك ارغب بتبديل موعد رحلتي
Gemma,تغيير موعد السفر ؟
Visitor,كانت رجعتي من دبي ٢ نيسان اريد ان اقرب الموعد
Gemma,من الشارقة؟
Gemma,عليكم التواصل مع مكتب الحجز للتأكد من توفر اماكن بالتاريخ المطلوب او الاقرب له و دفع رسوم التغيير
Visitor,اذا بدلت التاريخ كم تكلفة التغيير واذا لغيتها كم التكلفة
Gemma,و الافضل ان يتم ذلك بمدة لا تقل عن 24 ساعة من موعد الرحلة الاساسية
Gemma,منعا لزيادة الرسوم
Gemma,الرسوم موجودة في شروط التذكرة و عند المكتب
Gemma,يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,اوك شكرا جزيلا لتعاونكم
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم ورحمة الله وبركاته
Visitor,اوك الحجز من مطار الشارقة إلى مطار حلب بتاريخ 10\6 والعودة 8\7 السبت
Gemma,و عليكم السلام
Gemma,الرحلات كل سبت و اربعاء
Gemma,و الحجز حسب توفر الاماكن
Visitor,كبار ٢وطفل خمس سنوات وطفلة رضيعة
Visitor,عبجرب والتطبيق ماعبيطلع السعر
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
