sender,sentences
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,اريد التاكد من موعد الطياره اليوم من الشارقة
Visitor,الى دمشق
Gemma,ممكن رقم الحجز
Visitor,طياره الساعة ٤ بعد الظهر
Gemma,يرجى الانتظار
Gemma,موعد رحلتكم اليوم من الشارقة الى دمشق 
Visitor,يكون الاقلاع من الشارقة الساعة 16:00 و الوصول الى دمشق الساعة 18:30
Visitor,التواجد في المطار قبل السفر ب 3 ساعات
Gemma,نتمنى لكم سفرا مريحا و وصولا بالسلامة
Visitor,شكرا جزيلا
Gemma,اهلا و سهلا
,_______________________________
Visitor,ممكن سعر تذاكر السفر الى اربيل لشخصين بالغين وطفلان
Gemma,تتفاوت الأسعار حسب نوع التذكرة و تاريخ الرحلة 
Visitor,و للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,أو للحجز و الاستفسار يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على الرقم الرباعي / 8011 / أو / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
,_______________________________
Visitor,مرحبا، انا عندي عضوية في برنامج نقاطي، و أرغب بحجز تذكرة الشارقة دمشق تاريخ ٢١/٦/٢٠٢٣
Gemma,ما هو رصيد النقاط لديكم
Visitor,رقم العضوية 10012004941
Visitor,رصيد النقاط ربما 1200
Gemma,يتوجب على أعضاء برنامج نقاطي ارسال طلب التذكرة المجانية قبل سبعة أيام على الأقل من تاريخ الرحلة المرغوب السفر عليها.
Gemma,مكافآت برنامج نقاطي:
Visitor,النقاط المطلوبة	المكافأة	درجة الخدمة
Visitor,1000	تذكرة ذهاب فقط	الدرجة السياحية
Visitor,2000	تذكرة ذهاب وعودة	الدرجة السياحية
Visitor,2000	تذكرة ذهاب فقط	درجة رجال الأعمال
Visitor,4000	تذكرة ذهاب وعودة	درجة رجال الأعمال
Visitor,المطلوب تذكرة ذهاب فقط ، الشارقة دمشق تاريخ 21/6/2023
Gemma,يمكنكم ارسال الطلب على الرابط 
Gemma,أو شرح الامر مع رقم العضوية و رصيد النقاط على الايميل
Gemma,اهلا و سهلا
,_______________________________
Visitor,صباح الخير
Gemma,صباح النور
Visitor,عم بحكي معك من لبنان
Visitor,عندي بضاعة بالشحن هي عبارة عن أدوية
Visitor,جاي على بيروت عبر شركتكم
Gemma,من أي بلد الانطلاق للشحن ؟
Visitor,من دمشق
Gemma,تريدون شحنها ؟ أم تم ذلك ؟
Visitor,حابب إتأكد مت تاريخ شحنها من سوريا وتاريخ وصولها إلى مطار بيروت
Visitor,تم ذلك
Visitor,عندي أرقام بوالص الشحن
Gemma,عليكم المتابعة مع المكتب الذي تم الشحن عن طريقه وفق بوليصات الشحن
Visitor,كيف فيكي تساعديني لو سمحتي
Gemma,هنا لا يمكن معرفة ذلك
Visitor,آه أوكي
Gemma,او للاستفسار عن التفاصيل يمكنكم التواصل مع مسؤول الشحن على أرقام الواتس اب التالية / 00963933223108 / أو / 00963958005061 /
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,مع شرح الأمر لهم برسائل الواتس اب
Gemma,و لكن عادة المتابعة مع المكتب الذي تم الشحن عن طريقه
Visitor,ما هو إسم مسؤول الشحن ؟
Gemma,يوجد اكثر من موظف للمتابعة 
Visitor,يمكنكم ترك استفساركم للرد باقرب وقت
,_______________________________
Visitor,هل الرحلة في وقتها
Gemma,رقم الحجز لو سمحت
,_______________________________
Visitor,بدي احجز على أربيل شو سعر التذكرة ذهاب فقط
,_______________________________
