sender,sentences
,_______________________________
Visitor,من بعد اذنك بدي اتاكد
Gemma,رقم الحجز من فضلك
Gemma,يرجى الانتظار
Visitor,فيني أعرف اذا في تعديل ع الرحلة
Visitor,انا الموعد بعرف 6 ونص الاقلاع
Visitor,هل يوجد أي تعديل
Gemma,اسم المسافر؟
Visitor,محمد زهير وفائي
Gemma,رحلتكم من الشارقة الى حلب اليوم السبت 18 الشهر
Visitor,الاقلاع من الشارقة الساعة 8:00 صباحا و الوصول الى حلب الساعة 10:15
Gemma,التواجد في المطار قبل السفر ب 3 ساعات
Gemma,نتمنى لكم سفرا مريحا و وصولا بالسلامة
Visitor,شكرا كتير
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,طفله عمرها ١٤ سنه
Visitor,مسموح تسافر لوحدها
Visitor,معها فيزا ديي
Gemma,رحلاتنا الى الشارقة و ابوظبي
Visitor,ابوها لح يوصلها المطار
Gemma,يمكن ذلك و لكن عليكم الاستفسار عن الاجراءات من ادارة الهجرة و الجوازات السورية
Gemma,و من مكتب الحجز
Gemma,اهلا و سهلا
,_______________________________
Visitor,كم عدد الرحلات الجوية من بيروت الى دمشق بالاسبوع
Visitor,هل يوجد رحلات يومية من بيروت الى دمشق؟
Gemma,رحلاتنا فقط كل يوم اربعاء
Visitor,لدي حجز يوم السبت الى بيروت ولكن لا استطيع دخول الاراضي اللبنانية ، ماذا يمكن ان افعل؟
Gemma,في هذه الحالة يجب ان يكون مروركم في مطار بيروت ترانزيت لا يتجاوز ال 12 ساعة
Gemma,يمكنكم الاستفسار من السفارة اللبنانية مع شرح الامر
Visitor,شكرا لحضرتك، سؤال اخير من فضلك اي ساعه موعد الرحلات من بيروت الى دمشق؟
Visitor,اقصد يوم الاربعاء وهل هو ثابت دائما؟
Gemma,يكون الاقلاع من بيروت الساعة 4:50 صباحا
Gemma,و الوصول الى دمشق الساعة 6:40
Visitor,شكرا جزيلاً
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم شو الوجهه غير مباشر الترانزيت
Gemma,و عليكم السلام
,_______________________________
Visitor,حجز من الرياض لدمشق تاريخ ١٥/٤
Visitor,هودة بعد ٢٠ يوم
Gemma,الرحلات ترانزيت عن طريق الكويت
,_______________________________
Visitor,ليس لدي رقم الحجز
Visitor,تاريخ الحجز 9 نيسان
Visitor,ابراهيم مصطفى حمود
Gemma,عذرا لا يمكن معرفة التفاصيل هنا على الاسم
Gemma,يمكنكم الاستفسار من المكتب الذي تم منه الحجز باصطحاب جواز سفركم
Gemma,و تزويدهم ببيانات حجزكم
Gemma,هذه التفاصيل ممكن معرفتها بالمكتب
Gemma,هنا يجب وجود رقم الحجز
Visitor,مافي وقت اجي عالمكتب
Gemma,عذرا لا يمكننا المساعدة هنا
Gemma,عن طريق الاسم فقط
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,سلام عليكم
Gemma,و عليكم السلام
Visitor,رحله من تاريخ 22/3 والعوده 1/5
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Visitor,من مطار الكويت الى مطار دمشق الدولي
Gemma,الرحلات يومية و الحجز حسب توفر الاماكن
Visitor,كم سعر الحجز
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
Gemma,تتفاوت الاسعار حسب نوع التذكرة و تاريخ الرحلة
Visitor,تذكره الدرجه السياحيه
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,اهلا و سهلا
,_______________________________
Visitor,مسا الخير
Gemma,مساء النور
Visitor,في شحن من دبي ل دمشق
Gemma,من الشارقة أو أبوظبي
Gemma,للاستفسار عن التفاصيل  يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,تمام يسلمن
Gemma,اهلا و سهلا
,_______________________________
Visitor,مكتب أجنحة الشام الشارقة منطقة المجاز
Visitor,متاح اليوم؟
Gemma,ليس لدينا معلومات الا عن وكيلنا العام في الامارات في دبي
Gemma,فلاي اند مور
Gemma,و اليوم عطلة
Visitor,الرقم ممكن
Gemma,يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
,_______________________________
Visitor,كيف اتحقق من الحجز
Gemma,يرحى الانتظار
Gemma,ما هو رقم الحجز ؟
Visitor,حجزت عن طريق مكتب سفريات
Visitor,درب السلامة
Gemma,اسم المسافر؟
Gemma,الحجز صحيح من الشارقة الى دمشق بتاريخ 17 الشهر الرابع و الاياب بتاريخ 13 الشهر الخامس
Visitor,لماذا لا يطهر في التحقق من خلال موقعكم
Gemma,لان الخدمة غير متوفرة عن طريق الموقع
Gemma,هل من مساعدة ثانية؟
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,السلام عليكم
Visitor,هل استطيع تعديل الحجز
Gemma,و عليكم السلام
Gemma,تعديل موعد السفر
Gemma,عليكم التواصل مع مكتب الحجز للتأكد من توفر اماكن بالتاربخ المطلوب او الاقرب له
Gemma,و دفع رسوم التغيير
Gemma,و الافضل ان يتم ذلك بمدة لا تقل عن 24 ساعة من موعد السفر منعا لزيادة الرسوم
,_______________________________
Visitor,من فضلكم اريد معرفة مواعيد الرحلات من مطار دمشق الدولي الى بنغازي وشكرا
Gemma,لا يوجد جدول ثابت للرحلات و يتم المتابعة مع المكتب
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على الرقم الرباعي / 8011 / أو / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,شكرا لكم
Gemma,اهلا و سهلا
,_______________________________
Visitor,رحلة الشارقة تأجلت؟
Visitor,موعد اقلاع ساعه 11:30
Visitor,وصلتني رسالة انه تأجلت رحلة
,_______________________________
Visitor,فيني اشتري تكت ل 3اشخاص اونلاين
,_______________________________
Visitor,فيني احجز ل تلت أشخاص
,_______________________________
