sender,sentences
Visitor,كم الغرامة على تعديل حجز الطيران موعد 27الشهر الحالي الفيزا صالحة لموعد 4/5
Gemma,يمكنكم معرفة قيمة الرسوم في المكتب وفقا لشروط تذكرتكم
Gemma,و عليكم مراجعة المكتب قبل مدة لا تقل عن 24 ساعة من موعد الرحلة منعا لزيادة الرسوم
Visitor,شكراً كتير
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم متوفر رحلة دمشق إلى الكويت على اجنحة الشام / الكويت الى الرياض على طيران فلاي ناس كل يمت ذهب و عودة
Gemma,و عليكم السلام
Gemma,الرحلات من دمشق الى الكويت و بالعكس يومية
Gemma,و من دمشق الى الرياض ترانزيت عن طريق الكويت كل احد و ثلاثاء و جمعة
Gemma,و الاياب من الرياص كل سبت و اثنين و اربعاء و خميس
,_______________________________
Visitor,مساء الخير
Gemma,مساء النور
Visitor,لو سمحت بدي اسال ئديش بتاخدوا عالكيلو الزائد من  دمشق لموسكو  بالليره السوري
Gemma,يتم حاليا دفع مبلغ 26000 ليرة عن كل كيلو زيادة في مطار دمشق
Visitor,وفي   رقم محدد للزياده ؟؟
Gemma,ما كمية الوزن الزائد معكم
Gemma,و عدد المسافرين
Visitor,معي تقريبا ٤٠ كيلو زياده
Gemma,للاستفسار عن التفاصيل يمكنكم التواصل مع مسؤول الشحن على أرقام الواتس اب التالية / 00963933223108 / أو / 00963958005061 /
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,شكرا الك
Gemma,اهلا و سهلا
,_______________________________
Gemma,بخصوص وصول مسافري حلب
Gemma,من مطار دمشق
Gemma,الوصول عند دوار الصنم في حلب
Gemma,اهلا و سهلا
Gemma,الحمد لله على وصولكم بالسلامة
,_______________________________
Visitor,الرحلة الشارقة حلب
Gemma,رقم الحجز لو سمحت
Visitor,عندي ملف 6Q762
Gemma,موجود في اعلى التذكرة
Gemma,رقم الحجز
Gemma,رموز ارقام و احرف
Visitor,بعتيلي رقم واتس ابعتلك صورة الحجز
Gemma,عذرا لا يوجد رقم واتس اب
Gemma,يرجى اعادة الاستفسار من الشوفير
,_______________________________
Visitor,طيران الشام تنطلق رحلاتها من مطار الكويت الدولي القديم صحيح ؟
Gemma,من المطار الدولي و عند الوصول يتم توجيهكم للبوابة
Visitor,شكرا جزبلاً لكم
Gemma,اهلا و سهلا
,_______________________________
Visitor,البولمان يلي فيه ركاب دبي حلب القادم من دمشق وين بدو ينزل الركان
Gemma,دقيقة لو سمحت
Visitor,النا مسافر بالبولمان وعند سؤاله لسائق البولمان وين نقطة النزول لم يجاوبه
Gemma,ممكن رقم الحجز
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Gemma,كيف يمكننا المساعدة؟
Visitor,اريد الاستفسار عن رحلات السودان الخرطوم ايمتى المواعيد والتكلفة
Gemma,ليس لدينا اي رحلات من و الى السودان
Gemma,اهلا و سهلا
Visitor,هل يمكنك مساعدتي باسماء شركات لديها رحلات الى السودان ؟
Gemma,عذرا ليس لدينا معلومات
,_______________________________
Visitor,مرحبا شو اخبار رحلة حلب الشارقة
,_______________________________
Visitor,انا بكندا و أريد حجز تذكرة اون لاين كويت دمشق كويت
Visitor,طريقة الدفع ستكون بالفيزا كارت و بالعملة الكندية
Visitor,الأسعار بموقعكم تظهر الليرة السورية فلا أعلم كيف سيكون اعتماد سعر التحويل لكي اعرف السعر الذي سيسحب من حسابي الرجاء المساعدة
,_______________________________
Visitor,صباح الخير
Visitor,لو تكرمتو رحلة حلب الى الشارقة شو وضعها
,_______________________________
