sender,sentences
Visitor,يعطيكم العافية
Visitor,مسا الخير
Visitor,بعد اذنكم شو سعر تذكرة الطيران لبغداد
Visitor,اووووف ولله ملينا
Visitor,خلينا نطلع برا البلد
,_______________________________
Visitor,اريد تعديل معلومات تذكرة الطيران
,_______________________________
Visitor,ادخلت المعلومات وما عطاني شي
Gemma,يمكنكم المتابعة اذا مع المكتب
Visitor,او المحاولة في وقت إخر
,_______________________________
Visitor,وطريقة الدفع
Gemma,التواجد في سوريا و المسافر سوري ؟
Gemma,هل المسافر سوري
Gemma,و ما هو بلد التواجد الذي سيكون منه الحجز
Visitor,المسافر سوري
Visitor,من دمشق
Gemma,الدفع بالليرة
Gemma,و يمكن ان يكون نقدي بأحد مكاتبنا الرئيسية
Gemma,في سوريا
Visitor,كيفية الحجز
Gemma,او يمكن دفع قيمة تذكرتكم عبر بوابة الدفع الالكتروني e-cash بوجود بطاقة حساب بنكي لديكم بأحد البنوك التالية :
Visitor,# بنك البركة
Visitor,# بنك سورية و الخليج
Visitor,# بنك الشام
Visitor,# البنك الاسلامي السوري الدولي
Visitor,أو عبر بوابة الدفع الالكتروني Fatora بوجود بطاقة حساب بنكي لديكم بأحد البنوك التالية :
Visitor,# البنك التجاري في سوريا
Visitor,# بنك سورية و الخليج
Visitor,# بنك الشام
Visitor,# البنك الاسلامي السوري الدولي
Gemma,الحجز اما عن طريق الرابط المعطى لكم 
Visitor,او من المكتب مباشرة
Visitor,أدخلت معلوماتي وماعطاني شي
Visitor,انطر رسالة ولا كيف
Gemma,يتم اختيار التاريخ و ادخال البيانات ثم يتم الانتقال من مرحلة الى المرحلة التي تليها وصولا لآخر مرحلة يتم اعطاءكم المبلغ الذي يجب دفع خلال مهلة الدفع و بناء على رقم الحجز
Gemma,الذي عليكم الاحتفاظ به و هو رمز من احرف و ارقام
Gemma,يظهر في آخر نافذة من عملية الحجز
Visitor,ممكن الرابط إلي بدي احجز منو
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,طبعا التواجد في سوريا
,_______________________________
Visitor,كيف بدي احجز لاربيل ذهاب فقط
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,او للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
,_______________________________
Visitor,السلام عليكم
Visitor,حاب احجز تذكرة من الشارقة الى حلب
Gemma,و عليكم السلام
Visitor,كيف طريقة الدفع انا موجود في البحرين
Gemma,يمكنكم الحجز عن طريق الواتس اب من وكيلنا في الامارات
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
