sender,sentences
Visitor,ممكن أعرف سعر الفيزا السياحية لأربعة أشخاص 2 بالغين و 2 أطفال
,_______________________________
Visitor,السلام عليكم
Visitor,رحلة من الشارقة ل مطار دمشق بي 10 الشهر ذهاب و إياب كم سعر التذكرة
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
,_______________________________
Gemma,كيف يمكننا المساعدة؟
,_______________________________
Visitor,هلى هناك رحلة الى اربيل من مطار دمشق
Gemma,الرحلات شبه يومية
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,او للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
,_______________________________
Visitor,كيف بدي احجز
Gemma,الحجز من مكاتب وكلائنا في جدة
Visitor,ممكن اسماء الوكلاء في جده
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في جدة :
Visitor,# مكتب لمار للسفر - جدة - حي الروضة - شارع صاري هاتف / 00966126970247 / 
Visitor,# مكتب الشاهين للسياحة و السفر - جدة - شارع الملك محمد عبد العزيز - صيرفي - أمام ميغا مول - الفيصلي هاتف / 00966122841355 / 
Visitor,# مكتب صقور القمة للسياحة و السفر - جدة - شارع صاري - جانب دوار الفلك هاتف / 00966561173253 /  / 00966126395997 / / 00966557778873 / / 00966547779873 /
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام علكم شو الوجهة مباشر من مطار دمشق
Gemma,و عليكم السلام
Gemma,حاليا تتوفر لدينا رحلات مباشرة من ( بيروت ، مسقط ، الكويت ، الشارقة ، أبوظبي ، بغداد ، أربيل ، النجف ، البصرة ، موسكو ، يريفان ، بنغازي و طهران ) الى دمشق و بالعكس
Visitor,شو الرحلة غير مباشر
Gemma,تتوفر لدينا رحلات غير مباشرة ( ترانزيت ) من دمشق الى اسطنبول أو الى فرانكفورت ترانزيت عن طريق بيروت
Visitor,و كذلك من دمشق الى الرياض أو الى جدة و بالعكس ترانزيت عن طريق الكويت
Visitor,و من دمشق الى البحرين و بالعكس ترانزيت عن طريق مسقط
Visitor,و من دمشق الى الدوحة و بالعكس ترانزيت عن طريق الكويت
,_______________________________
Visitor,انا بدي احجز رحلة من جده الى دمشق
Visitor,سوري الجنسيه مقيم في السعوديه
Gemma,الرحلات ترانزيت عن طريق الكويت
