sender,sentences
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,كم سعر الكيلو الزائد من مطار الشارقة إلى مطار دمشق
Gemma,يتم حاليا دفع مبلغ 35 درهم عن كل كيلو زيادة في مطار الشارقة
Visitor,واذا كان الوزن 40 كيلو ذائد هل من تخفيض
Gemma,عليكم الاستفسار عن خدمات الشحن في هذه الحالة
Gemma,للاستفسار  يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
,_______________________________
Visitor,حابب استفسر عن رحلات من قامشلي إلى اربيل
Gemma,رحلاتنا متوفرة فقط من دمشق الى أربيل و بالعكس
Visitor,كم رحلة متوفرة بالاسبوع؟
Gemma,الرحلات شبه يومية
Visitor,ذهابا و ايابا بشكل يومي؟
Gemma,شبه يومي تقريبا
Visitor,ما هي تكلفة التذكرة الواحدة؟
Gemma,تتفاوت الأسعار حسب نوع التذكرة و تاريخ الرحلة 
Visitor,و للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,أو للحجز و الاستفسار يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على الرقم الرباعي / 8011 / أو / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
,_______________________________
Visitor,من مطار بيروت الي القامشلي هل يوجد رحلات
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في بيروت على الرقم / 0096181710701 / 
Visitor,أو على العنوان : 
Visitor,# بيروت - حدث - جاليري سمعان - الطابق الأرضي
Visitor,خلال أوقات الدوام من الاثنين الى الجمعة من الساعة / 9 / جتى الساعة / 16 /
,_______________________________
Visitor,بعد اذنك كم مرة مسموح التعديل عالحجز؟
Gemma,لا يوجد عدد محدد للتغيير
Gemma,و لكن التغيير يكون برسوم
Visitor,وكم الرسوم
Gemma,موجودة ضمن شروط التذكرة
Gemma,و يمكنكم الاطلاع على التفاصيل من المكتب عند التغيير
Gemma,و الافضل ان يتم التغيير قبل مدة لا تقل عن 24 ساعة من موعد الرحلة الاساسية
Gemma,منعا لزيادة الرسوم
Visitor,تمام شكرا
Gemma,اهلا و سهلا
,_______________________________
Visitor,كم سعر تذكرة دمشق موسكو دمشق
Gemma,تتفاوت الاسعار حسب نوع التذكرة و تاريخ الرحلة
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,او للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
,_______________________________
Gemma,كيف يمكننا المساعدة؟
,_______________________________
Visitor,مرحبا اريد التاكد من اذا كانت ثمن البطاقة قابلة للاسترداد ام لا
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Visitor,الانطلاق من دمشق الى الشارقة
Gemma,للالغاء عليكم التواصل مع المكتب الذي تم منه الحجز حصرا للتاكد من شروط التذكرة ان كانت قابلة للالغاء و اذا كانت قابلة للالغاء عليكم تقديم طلب الالغاء عن طريقهم
Gemma,و الاستفسار عن رسوم الالغاء
Gemma,و الافضل ان يتم ذلك بمدة لا تقل عن 24 ساعة من موعد الرحلة الاساسية منعا لزيادة الرسوم
,_______________________________
Gemma,كيف يمكننا المساعدة؟
,_______________________________
Visitor,يوجد رحلة بتاريخ ٥/٧ موسكو دمشق بخصوص السعر
Visitor,المعروض على الموقع هل هو سعر نهائي؟
Gemma,السعر النهائي بعد اختيار تاريخ الرحلة و ادخال بيانات المسافرين فيعطي السعر
Gemma,او للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في موسكو  Charter Green Light Moscow 
Visitor,خلال أوقات الدوام من الاثنين الى الجمعة من الساعة / 9 / حتى الساعة / 17 /
,_______________________________
Visitor,السلام عليكم
Visitor,مطار حلب... أجنحة الشام... الكويت
Visitor,متى تبدأ الرحلات
Gemma,و عليكم السلام
,_______________________________
Visitor,Visitor Name: صافي
Visitor,السلام عليكم
Visitor,بدي استفسر عن حجزي اذا مأكد 
Visitor,اعطيكي رقم الحجز لو سمحتي
Gemma,و عليكم السلام
Gemma,يرجى الانتظار
Visitor,فلاي ناس كمان تأكدي لو سمحتي كلو مؤكد
Gemma,فلاي ناس لا يمكننا التأكد هنا و انما من المكتب
Visitor,طيب رحلة الاجنحة
Visitor,صافي: ?
Gemma,دقيقة لو سمحت
Visitor,صافي: OK
Gemma,أسماء المسافرين ؟
Visitor,صافي: Mustafa shoeeb
Visitor,صافي: aya chahin
Visitor,صافي: ali shoeeb
Visitor,صافي: lara shoeeb
Gemma,الحجز صحيح 
Visitor,من الرياض الى دمشق ترانزيت عن طريق الكويت بتاريخ 23 الشهر السادس و الاياب بتاريخ 5 الشهر الثامن
Visitor,صافي: تمام كل الشكر
Visitor,صافي: دقيقه
Gemma,اهلا و سهلا
Visitor,صافي: الطيران لحلب مو لدمشق
Visitor,صافي: الرياض الكويت حلب
Gemma,الخطأ في الكتابة لدينا
Visitor,صافي: تمام
Gemma,نعتذر منكم
Visitor,صافي: شكرا
Visitor,صافي: العفو شكرا لدعمكم المستمر
Gemma,على الرحب و السعة
,_______________________________
,_______________________________
,_______________________________
Visitor,بدي استفسر اذا بقدر ادفع للحجز ببطاقة visa
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Gemma,يمكنكم اذا أردتم الحجز لرحلاتنا المباشرة و الدفع بالبطاقة الائتمانية عن طريق أحد المواقع التالية :
Visitor,شكراً كتير 🙏🏻
Gemma,اهلا و سهلا
,_______________________________
Visitor,قديش تكلفة الكيلو الزايد عن الحد المسموح من دمشق لاربيل
Gemma,يتم حاليا دفع مبلغ 20000 ليرة عن كل كيلو زيادة في مطار دمشق
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,الرحل من اربيل الى دمشق
Gemma,الرحلات شبه يومية
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في أربيل :
Visitor,# شركة زوزك للطيران - شارع كولان - طريق القرية الانكليزية - خلف مقهى كوستاريكا
Visitor,هاتف / 009647501000405 / أو / 009647501000406 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
,_______________________________
Visitor,مرحبا لو سمحتو بدي اسال شوفي رحلات بي ٦ او ٧ نيسان من دبي لشام والرجعة بي ٢٦ او ٢٧ الشهر
Visitor,والاسعار ومن وين لازم يكون الحجز
Gemma,رحلات دبي غير متوفرة
Gemma,رحلاتنا من الشارقة الى دمشق و بالعكس يومية
Gemma,و الحجز حسب توفر الاماكن
Visitor,ممكن تشفلي بالاوقت يلي خبرتك عليه
Visitor,شخص واحد
Gemma,التواجد و الحجز من الامارات؟
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,او للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
,_______________________________
Visitor,اهلا بكم
Gemma,رقم الحجز لو سمحت
Visitor,لو سمحت انا حجزت تذكرة وايد التأكد اذا هي صالحة
Gemma,يرجى الانتظار
Gemma,اسم المسافر؟
Visitor,وسام الشوفي
Gemma,حجزكم صحيح و هو ذهاب فقط من بيروت الى دمشق يوم الاربعاء 21 الشهر السادس
Visitor,شكرا جزيلاً لحضرتك
Gemma,اهلا و سهلا
Visitor,اتمنى لك يوما جميلا
,_______________________________
Visitor,ما هيا الشروط لسفر الى المملكة العربية السعودية
Gemma,يجب وجود فيزا او اقامة لديكم للحجز لرحلات السعودية
Visitor,ما تكلفة الرحة الى السعودة
Gemma,الرحلات ترانزيت عن طريق الكويت
Gemma,و تفاصيل الأسعار في مكتب الحجز
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على الرقم الرباعي / 8011 / أو / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
,_______________________________
Visitor,يعطيكي العافيه
Gemma,الله يعافيك
Gemma,كيف يمكننا المساعدة؟
Visitor,بس عندي استفسار عن الرحلة اللي توجهت اليوم من مطار دمشق ل مطار الشارقه اي ساعه منكن توصل الشارقه
Visitor,لأن بحسب المعلومات اللي وصلتني من الأهل الطائرة تأخرت عن وقت الإقلاع المحدد مسبقا تقريبا ساعه
Gemma,ممكن رقم الرحلة
Visitor,اكيد بس ثواني من فضلك
Gemma,الوصول الساعة 15:56 ان شاء الله
Visitor,نتمنى للجميع سفرا مريحا ووصولا بالسلامة
Visitor,شكرا لك
Gemma,اهلا و سهلا
Gemma,شكرا لنواصلكم معنا
,_______________________________
Visitor,شو القصد بالوجهات الغير مباشرة؟ مثال جدة
Gemma,اي يوجد ترانزيت لعدة ساعات في مطار الكويت
Gemma,فقط لتبديل الطائرة
Gemma,تكون الرحلة من دمشق الى الكويت على متن اجنحة الشام و من الكويت الى جدة على متن خطوط الجزيرة
Gemma,و الحجز معنا عن الرحلة كاملة
Gemma,و اثناء الترانزيت يتم تبديل الطائرة دون اي اجراء آخر
Visitor,تمام يعني ما بحتاج اقطع تذكرتين تعتبر رحلة واحدة
Gemma,الحجز من المكتب
Visitor,و يتم اعطاءكم رقم حجز عن التذكرتين
Gemma,التفاصيل كاملة في المكتب
Visitor,معناتا بحجز تذكرتين مو وحدة ؟
Gemma,الحجز عن طريق وكلائنا لتذكرتين
Gemma,اي يوجد ربط بين الرحلتين من قبلنا
Visitor,تمام فهمت عن طريقكن بس التكلفة حتكون تذكرتين و ليست واحدة صح ؟
Visitor,تمام شكرا
Gemma,اهلا و سهلا
,_______________________________
Visitor,بدي اتاكد من الحجز تبعي
Gemma,ما هو رقم الحجز
Gemma,يرجى الانتظار
Gemma,اسم المسافر ؟
Gemma,حجزكم صحيح من الشارقة الى اللاذقية بتاريخ 11 نيسان و الاياب ب 25 نيسان
Gemma,هل من مساعدة ثانية؟
Gemma,اهلا و سهلا
,_______________________________
Visitor,كيف انضم الى فريق عملكم
Gemma,يمكنكم ارسال السيرة الذاتية على البريد الالكتروني :
Visitor,حيث يتم متابعة الطلب من قبل قسم الموارد البشرية
Visitor,أو يمكنكم التقدم عن طريق الرابط :
Visitor,قدمت ولم استفد
Gemma,يتم دراسة كل الطلبات من القسم المختص و في حال القبول يتم التواصل معكم
Gemma,لتزويدكم بالتفاصيل
,_______________________________
Visitor,أنا أحاول أن أرسل طلب توظيف وقمت بتعبئة جميع الصفحات
Visitor,ولم يعطيني ما يدل على أنه تم إرسال الطلب بنجاح
Gemma,ممكن ان يكون بسبب الانترنت
Gemma,و يمكنكم ارسال السيرة الذاتية بالايميل ايضا
Gemma,يمكنكم ارسال السيرة الذاتية على البريد الالكتروني :
Visitor,حيث يتم متابعة الطلب من قبل قسم الموارد البشرية
Visitor,أو يمكنكم التقدم عن طريق الرابط :
Visitor,شكرا لك
Gemma,اهلا و سهلا
,_______________________________
Visitor,يعطيكم العافيه
Visitor,اذا سمحتو حابه اعرف اذا تم فتح الرحلات من الشارقه للاذقيه في شهر حزيران او لسا
Gemma,الرحلات متوفرة كل يوم ثلاثاء للذهاب و الاياب
Visitor,يعني ممكن نحجز من هلق لشهر حزيران او لسا ما فتحت الحجوزات ؟
Gemma,الحجوزات متوفرة
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,أو  للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
