sender,sentences
Visitor,مساء الخير
Visitor,مساء الخير
Gemma,مساء النور
Visitor,أريد الاستفسار عن طريقة الدفع لحجز التكرة
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Gemma,و بلد التواجد
Visitor,مسقط دمشق ومن ثم دمشق ممسقط
Visitor,ذهاب وإياب
Gemma,عن طريق موقعنا؟
Visitor,بالبطاقة يعني؟؟
Gemma,تم الحجز عن طريق موقعنا الالكتروني
Gemma,عن اكتمال عملية الحجز عن طريق موقعنا الالكتروني يتم تزويدكم برقم حجز و مهلة للدفع
Gemma,او يكون الحجز من المكتب مباشرة
Gemma,كيف تم حجزكم ؟
Visitor,لم أحجز بعد
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في مسقط ( أجنحة الياسمين ) الخوير الجنوبية - شارع دوحة الأدب - مبنى مركز الأعمال - ط 6  هاتف / 0096896345222 / 
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,الدفع نقدي بالريال العماني
Visitor,فقط للتوضيح  أي أنني يمكنني الحجز مبدئياً عن طريق الموقع والدفع يكون فيما بعد
Visitor,و لكن عند آخر مرحلة تظهر نافذة فيها رقم الحجز و مهلة الدفع و المبلغ الواجب دفعه
Visitor,عليكم الاحتفاظ بصورة النافذة
Gemma,لمراجعة وكيلنا المعطى لكم
Gemma,و تزويده برقم الحجز خلال تلك المهلة و الدفع
Gemma,و اذا انتهت المهلة دون دفع يلغى الحجز تلقائيا و الحجز الجديد بسعر جديد
Visitor,هل يمكن الدفع عن طريق البنك
Visitor,هذا ما أريد معرفته
Gemma,الدفع نقدي
Gemma,و لكن يمكننا تزويدكم بمواقع تقبل الدفع بالبطاقة الائتمانية اذا اردتم
Visitor,معناها يجب الذهاب حتماً إلى مكتب الوكيل؟؟
Visitor,في مسقط
Gemma,الا اذا اردتم الحجز عن طريق مواقع تقبل البطاقة الائتمانية
Visitor,أخشى الأخطاء عبر المواقع الإلكترونية
Gemma,كما يمكنكم التواصل مع الوكيل قبل الحجز و الاستفسار عن امكانية الدفع بحساب بنكي
Visitor,هل يمكنني أن أوكل سخص في مسقط للحجز لي
Visitor,وأعطيه صورة عن جواز السفر
Gemma,حتى اذا تم الحجز عن طريق الموقع الخاص بنا
Gemma,يمكن اعطاء رقم الحجز لشخص من طرفكم
Gemma,لاتمام الدفع خلال مهلة الدفع
Visitor,تمام ومتى يعطوني صورة عن التذكرة عند الحجز أم عند الدفع؟
Gemma,عند الدفع
Gemma,يتم اعطاءكم التذكرة باليد او ملف على الموبايل او الايميل
Gemma,حسب رغبتكم
Visitor,شكراً جزيلاُ على المعلومات
Gemma,اهلا و سهلا
,_______________________________
Visitor,بدي اسألك عن تذكرة
Gemma,ما استفساركم
Visitor,عن حجز
Gemma,يرجى الانتظار
Gemma,اسم المسافر
Visitor,من بيروت لدمشق
Gemma,رحلتكم يوم الاربعاء 29 الشهر الحالي
Visitor,الاقلاع من بيروت الساعة 5:20 صباحا و الوصول الى دمشق الساعة 7:10
Gemma,التواجد في المطار قبل السفر ب 3 ساعات
Visitor,تمام بس سؤال وقت لبنان متل وقت سوريا
Gemma,الاقلاع و الوصول بالتوقيت المحلي لكل بلد
Visitor,تمام شكرا الك بقدر ضيف رقم إذا صار اي تغيير
Visitor,مكتب الحجز ضاف رقم الخاص وماقدرنا نضيف نحنا رقم
Gemma,عذرا اضافة الارقام من المكتب فقط
Visitor,شكرا الك
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم
Visitor,رحلتي يوم الجمعة
Gemma,و عليكم السلام
Visitor,لو احببت التأجيل أسبوع كم التكلفة
