sender,sentences
Visitor,هل هناك رحلات في شهر نيسان من بيروت إلى مطار الباسل في اللاذقية
,_______________________________
Visitor,السلام عليكم هل يوجد شحن من ماليزيًا الى سوريا
,_______________________________
Visitor,مرحبا نحن اجنحة العالم الخبراء WORLD WINGS مراكزنا منتشرة في تركيا يشرفنا الإنضمام الى اجنحة الشام كوكلاء في تركيا في ولايات اسطنبول أضنة مرسين . وتحياتنا لفريق العمل .
,_______________________________
Visitor,ممكن مساعدة
Gemma,كيف يمكننا المساعدة؟
,_______________________________
Visitor,مسا الخير
Gemma,مساء النور
Visitor,اذا سمحت بدي اسال سؤال اذا عندي شنتاية اضافية وزنها ٣٠ كيلو طيارتي عالشام
Visitor,اديه بدفع عليها
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Visitor,من دبي ل الشام
Gemma,من الشارقة او ابوظبي؟
Gemma,رحلات دبي غير متوفرة لدينا
Visitor,٢٥ العودة عندي هاد الشهر
Gemma,عليكم التواصل مع المكتب للاستفسار عن امكانية اضافة قطعة وزن زائد و الرسوم المترتبة عن ذلك
Gemma,و التواصل قبل مدة لا تقل عن 24 ساعة من موعد السفر
Gemma,و اذا لا يوجد اضافة فطعة زيادة
Visitor,طيب بدي اعرف الشحن الجوي عن طريق الاجنحة من الامارات عالشام اديه لكلفني الكيلو وبعد كم يوم الاستلام ؟
Gemma,يتم دفع حاليا مبلغ 35 درهم عن كل كيلو زيادة في مطار الشارقة
Visitor,والشحن الجوي؟
Gemma,للاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Visitor,مافي مجال تخبرني هلا اديه تكلفة الكيلو بالشحن الجوي ؟
Visitor,من الامارات للشام؟
Gemma,عذرا هنا ليس لدينا تفاصيل عن ذلك
Gemma,الشحن من الامارات للشام يمكن الاستفسار عنه من المكتب
,_______________________________
Visitor,يعطيكن العافية بدي اسأل كم تذكرة الطيارة الى ليبيا بنغازي
Gemma,التفاصيل في المكتب
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على الرقم الرباعي / 8011 / أو / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,لو سمحت كيف فيني اعدل على الحجز
Gemma,تغيير الموعد؟
Gemma,عليكم مراجعة المكتب للتأكد من توفر اماكن بالتاريخ المطلوب او الاقرب له و دفع رسوم التغيير
Gemma,و الافضل ان يتم ذلك بمدة لا تقل عن 24 ساعة من موعد الرحلة الاساسية منعا لزيادة الرسوم
Visitor,ما في اون لاين انا موجود بالامارات و ما بعرف اذا الكم مكاتب هون
Gemma,لا يوجد تغيير اون لاين
Gemma,يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - بورسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
Gemma,او يمكن لشخص من طرفكم القيام بالتغيير من مكاتب سوريا
,_______________________________
Visitor,كيف بقدر احجز تكت وادفع سعرها من الدولة اللي انا موجود فيها ؟
Visitor,بلد الاغراب روسيا
Visitor,الرحلة من دمشق ل موسكو
Gemma,في هذه الحالة عليكم الحجز من المكتب مباشرة
Gemma,بوجود صورة عن جواز سفر الراكب معكم عند الحجز
Visitor,مابقدر احجزها مت عندي اونلاين ؟
Gemma,يمكنكم اذا أردتم الحجز لرحلاتنا المباشرة و الدفع بالبطاقة الائتمانية عن طريق أحد المواقع التالية :
Gemma,هل تفضلون تزويدكم بمكتب الحجز في موسكو؟
,_______________________________
Visitor,لقد جربت جميع الروابط التي ارسلتها من اجل الحجز والاسعار
Visitor,لكن جميع المواقع في كل التواريخ في تموز تعطيني لايوجد رحلات
Visitor,لااعرف ماهو السبب يعطيني ه
Gemma,الرحلات متوفرة خلال شهر تموز
Gemma,يمكن لشخص من طرفكم الحجز لكم من سوريا اذا أردتم
Gemma,من المكتب مباشرة
Gemma,بوجود صورة عن جواز سفركم معه عند الحجز
Gemma,و لكن الدفع لن يكون بالليرة
Gemma,لأن بلد الانطلاق للرحلة ليس سوريا
Visitor,هل يوجد رقم واتساب او اتصال او ايميل
Gemma,يوجد رقم واتس اب و لكن ليس للحجز و انما لمعلومات الرحلات و معلومات التواصل مع المكاتب
Visitor,نعم هئا يفيدني الرقم لان الروابط لاتعطيني اية نتيجة
Visitor,شكرا على الرقم
Gemma,اهلا و سهلا
,_______________________________
Gemma,كيف يمكننا المساعدة؟
Visitor,اريد معرفة الرحلات في شهر تموز من بيروت الى حلب مع التاريخ والوقت حاولت على الموقع لم استطع المعرفة
Gemma,الرحلات كل يوم اربعاء
Gemma,للذهاب و الاياب
Visitor,هل يمكن معرفة الساعه
Gemma,يكون الاقلاع من بيروت الساعة 00:50
Gemma,و الوصول الى حلب الساعة 2:50فحرا
Visitor,كم تكلفة الشخص البالغ مع ثلاثة اطفال تقريبا الاطفال من 4 سنوات الى 7
Gemma,يمكنكم اذا أردتم الحجز لرحلاتنا المباشرة و التعرف على المواعيد و الاسعار و  الدفع بالبطاقة الائتمانية عن طريق أحد المواقع التالية :
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,لا يوجد رحلات من الكويت إلى دمشق
Gemma,الرحلات يومية
Gemma,و الحجز حسب توفر الاماكن
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
