sender,sentences
Visitor,السلام علبكم
Visitor,هل هناك أي رحلات ذهاب واياب من مطار البصرة إلى مطار دمشق او حلب ؟
,_______________________________
Visitor,حجز من دمشق الى النجف
Gemma,رحلاتنا من دمشق الى النجف ايام الاحد و الثلاثاء و الجمعة
Gemma,و الحجز حسب توفر الاماكن
Visitor,سعر التذكرة
Visitor,يوم الثلاثاء
Gemma,تفاصيل الاسعار في المكتب
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,شكراً جزيلاً
Gemma,اهلا و سهلا
,_______________________________
Visitor,ممكنتشوفون هذا رقم التذكره شنو المشكله فيه
Gemma,ممكن رقم الحجز PNR
Gemma,يرجى الانتظار
Gemma,ما اسم المسافر ؟
Visitor,و اسم الرضيع
Gemma,الحجز ذهاب فقط من البحرين الى دمشق ترانزيت عن طريق مسقط
Visitor,في مطار مسقط موجودين - بس الحجز مو ظاهر عندهم في المطار
Visitor,خبروهم المطار ان الحجز ما يظهر عندهم وانا ادور حل للموضوع
Visitor,من مسقط الى دمشق
Gemma,دقيقة من فضلك
Visitor,تمام انا انتظركم
Gemma,هل يوجد مع المسافرة نسخة عن التذكرة ؟
Gemma,ممكن التوضيح من هو الذي لم يظهر لديه الحجز
Gemma,هل تذكرة الاجنحة معكم
Visitor,اي نعم موجوده
Visitor,بس المطار خبرنا ما في حجز بهذه التذكره
Gemma,التذكرتين معكم ؟
Visitor,اي نعم
Visitor,تذكره بحرين مسقط تم السفر بواسطتها بس تذكره مسقط دمشق المطار خبرنا ان لا يوجد حجز اليهم مع ان التذكره موجوده عندهم
Gemma,ممكن ترك اسمكم كاملا و رقم عليه واتس اب مع الكود الدولي
Visitor,علي عبدالحسين علي موسى 
Visitor,زوج المسافره
Gemma,الحجز مثبت لدينا في موعد الرحلة و لذلك يرجى المتابعة مع موظفي اجنحة الشام في المطار  مع اطلاعهم على التذكرة لتقديم المساعدة
,_______________________________
Visitor,السلام علكم في الشارقة الى حلب كل يمت ذهب و عودة
Gemma,و عليكم السلام
Gemma,الرحلات كل سبت و اربعاء للذهاب و الاياب
,_______________________________
Visitor,السلام عليكم
Visitor,هل في تغيير على توقيت ؤحلة مسقط دمشق اليوم؟
Gemma,و عليكم السلام
Gemma,ممكن رقم الحجز
Gemma,يرجى الانتظار
Gemma,موعد رحلتكم من مسقط الى دمشق الجمعة 17 الشهر الحالي
Visitor,الاقلاع من مسقط الساعة 2:15 فجرا و الوصول الى دمشق الساعة 5:00 صباحا
Gemma,التواجد في المطار قبل السفر ب 3 ساعات
Gemma,نتمنى لكم سفرا مريحا و وصولا بالسلامة
Visitor,تواصلنا مع مطار مسقط خبرونا انو الرحلة متقدمة الى الساعة 9 ونص مساء
Visitor,يعني رح تطلع من مسقط 9 ونص
Gemma,في حال حدث اي تغيير يتم ابلاغ المسافرين به على ارقام الموبايل المعطاة للمكتب عند الحجز
Visitor,هذا موعد رحلتكم المبين على التذكرة
Visitor,للاسف ما حدا بلغنا باي تغيير لان الرحلة كانت اساسا الساعة 00:55
Gemma,ووفقا لجدول رحلاتنا من مسقط الى دمشق
Visitor,المهم المؤكد حاليا ان الرحلة 2:15
Gemma,التبليغ يتم من المكتب الذي تم منه الحجز
Gemma,و الرحلة مؤكدة ان شاء الله
Visitor,تمام ان شاء الله
Visitor,شكرا لكم
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
,_______________________________
Visitor,بخصوص السفر إلى بيروت هل ممكن الحجز لمدة ٤ اسابيع بغاية السياحة عن طريق حجز او استضافة Airbnb؟
Gemma,للاستفسار عن التفاصيل عليكم التواصل مع المكتب
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,Wissam Alsaied: شكراً
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
,_______________________________
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,اريد اغير موعد الرحله
Visitor,العوده تاريخ ٢٨
Gemma,عليكم التواصل مع مكتب الحجز للتأكد من توفر اماكن بالتاريخ المطلوب او الاقرب له و دفع رسوم التغيير
Visitor,كم رسوم التغير
Gemma,و الافضل ان يتم ذلك بمدة لا تقل عن 24 ساعة من موعد الرحلة الاساسية منعا لزيادة الرسوم
Gemma,و الرسوم موجودة ضمن شروط التذكرة و التفاصيل في المكتب
Visitor,هل يوجد فرع في عجمان
Gemma,وكيلنا العام في دبي
Gemma,اهلا و سهلا
,_______________________________
Visitor,يعطيكن العافية
Visitor,سؤال عن الوزن
Visitor,نحنا شخصان مسافران الام وابنها مسموح ادمج الحقائب من أجل الوزن المسموح بحقيبة واحدة
Visitor,منمسموح لكل شخص ٣٠ كيلو
Visitor,يتم وضع الوزن المسموح به لكل شخص لوحده
Visitor,ماشي مشكور ين
Gemma,اهلا و سهلا
,_______________________________
Visitor,انا ابحث عن رحلة من بيروت لدمشق مع نهاية الشهر لم أجد
Gemma,الرحلات كل يوم اربعاء
Gemma,و لكن الحجز حسب توفر الاماكن
,_______________________________
