sender,sentences
Gemma,او للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Gemma,كيف يمكننا المساعدة؟
Visitor,اريد استفسار عن حجز.. يوم 21.3. و العودة تاريخ 20.4 من الشارقة الى دمشق
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,ممكن اعرف جددول رحلاتكم من الشارقه لدمشق والعوده ايضا
Gemma,الرحلات يومية
Visitor,في رحلة اضافيه يوم الاثنين بتكون ارخص؟
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,او للحجز و الاستفسار يمكنكم التواصل مع مكتب فلاي اند مور ( الوكيل العام لأجنحة الشام في الامارات ) على الرقم / 0097142222777 / أو على رقم الموبايل ( واتس اب ) / 00971562744250 / أو / 00971565630434 / أو / 00971545611480 / او زيارته على العنوان :
Visitor,# دبي - ديرة - ميناءسعيد - بناء زينة - مكتب / 110 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 10 / حتى الساعة / 18 /
,_______________________________
,_______________________________
Visitor,Visitor Name: صافي
Visitor,السلام عليكم
Gemma,و عليكم السلام
Gemma,كيف يمكننا المساعدة؟
Visitor,صافي: بدي اعرف وين فيمي اعمل حجز من الرياض لحلب
Visitor,صافي: انا مقيم بالرياض
Gemma,الرحلات متوفرة حاليا من و الى دمشق
Gemma,و الحجز من مكاتب وكلائنا في الرياض او جدة او الدمام او القصيم
Visitor,صافي: مين الوكلاء بالرياض
Visitor,صافي: لو سمحتي
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في الرياض :
Visitor,# مكتب لمار للسفر - الرياض - الفرع الرئيسي - حي الورود - شارع العروبة - هاتف / 00966114193222 /
Visitor,# مكتب الشاهين للسياحة و السفر - الرياض - شارع الملك فهد - العليا - هاتف / 00966114651115 / او  / 00966554798145 / او / 00966506210409 / او  / 00966566660260 / 
