sender,sentences
,_______________________________
,_______________________________
Visitor,يوجد تغير
Visitor,على رحلة
Visitor,يوم غد من دمشق الى نجف
Gemma,في حال حدث اي تغيير فانه يتم ابلاغ المسافرين به على ارقام الموبايل المعطاة للمكتب عند الحجز
Visitor,سابقا لم يتم ابلاغي
Visitor,حدث ذلك
Visitor,هل يوجد هاتف للتاكد
Visitor,من الحجز
Gemma,غدا الاقلاع من دمشق الساعة 17:00
Gemma,و الوصول الى النجف الساعة 18:30
Gemma,التواجد في المطار قبل السفر ب 3 ساعات
Visitor,يوجد هاتف للتاكد غدا الجمعة صباحا
Visitor,رقم هاتف
Gemma,يمكن التواصل هنا
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,يعطيكم العافية 
Visitor,بدي اعرف اسعار الرحل لموسكو او ماليزيا لشخصين
Gemma,رحلات ماليزيا غير متوفرة
Gemma,و رحلاتنا من دمشق الى موسكو كل اربعاء و الاياب كل خميس
Gemma,تتفاوت الاسعار حسب نوع التذكرة و تاريخ الرحلة
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,او للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,بخصوص السعر بحط التاريخ والوجهة بتم التسعير وبضغط على ارسال صحيح ؟
Gemma,يتم اختيار تاريخ الذهاب و الاياب و ادخال بيانات المسافرين فيظهر السعر في ذلك التاريخ فان ناسبكم تكملون الحجز
Visitor,طيب رح جرب 
Visitor,لان ما تم التسعير
Visitor,لازم اضغط ارسال
Gemma,اذا كانت الرحلة المختارة غير متاحة للحجز او ممتلئة لا يظهر السعر
Gemma,و عليكم اختيار غير تاريخ ضمن ايام الرحلات
Visitor,حطيت موسكو الذهاب يكون يوم اربعاء والعودة بعد اسبوع الخميس
Gemma,يمكنكم المحاولة للحصول على النتيجة
Gemma,او المتابعة مع المكتب
Visitor,تمام شكرا كتير
Gemma,اهلا و سهلا
,_______________________________
Visitor,ممكن تعطيني كم السعر للحجز تذكرة من الشام للبنان
Visitor,كم المبلغ يكون في السوري
Visitor,لان انا مو عايشة بسوريا
Visitor,واذا عم ادخل على الرابط ماعم اقدر افهم اديش المبلغ بالسوري
Gemma,عذرا هنا لا يوجد معلومات عن الاسعار
Gemma,و انما عن طريق الرابط او من المكتب المعطى لكم
Visitor,كيف بقدر اعرف عن غير طريقة الرابط
Visitor,في رقم للاتصال الدولي
Gemma,يمكن لشخص من طرفكم مراجعة الحجز و الحجز بوجود صورة عن جواز سفركم معه
Visitor,لان انا عايشة في كندا وكتير صعب علي الاتصال اذا ما كان دولي
Gemma,يمكننا تزويدكم بوكيلنا في كندا
Visitor,او اعطاءكم مواقع للحجز و الدفع بالبطاقة الائتمانية
Visitor,تمام كيف فيني اوصل للشخص يلي بكندا
Visitor,كيف يمكنني التواصل معو
,_______________________________
Visitor,يعطيكم العافية
