sender,sentences
Visitor,السلام عليكم
Visitor,هل في رحلات من الكويت الى حلب
Gemma,و عليكم السلام
Gemma,نعم بدءا من 16 الشهر السادس و الحجز متوفر من الآن
Visitor,شهر ٤ مافي بعد العيد
Visitor,انا حاب انزل حلب بعد العيد انشالله
Visitor,من وين في رحلات ع حلب
Gemma,الرحلات بدءا من الشهر السادس و ليس قبل ذلك
Gemma,يوجد حاليا رحلات من الشارقة و من بيروت
Visitor,الشارقة زين
Visitor,هل بتفتحون من البحرين رحلات مباشرة الى سوريا
Gemma,من الشارقة الى حلب و بالعكس كل سبت و اربعاء
Visitor,شكرا 🙏
Gemma,من الشارقة الى حلب و بالعكس كل سبت و اربعاء
Visitor,و كيف طريقة الدفع و الحجز
Gemma,التواجد في الامارات حاليا؟
Visitor,لا انا في البحرين
Gemma,يمكنكم اذا أردتم الحجز لرحلاتنا المباشرة و الدفع بالبطاقة الائتمانية عن طريق أحد المواقع التالية :
Visitor,انشالله احجز قريب 👍
Gemma,اهلا و سهلا
Gemma,اهلا و سهلا
,_______________________________
Visitor,اريد الاستفسار عن الحد الادنى لصلاحية جواز السفر بغرض الزيارة لمدة شهر واحد الى دولة الامارات مع العلم انه يوجد فيزة زيارة صالحة
Gemma,لا تقل مدة صلاحية الجواز عن 6 اشهر
Gemma,للاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,بعد اطلاعهم على الفيزا الموجودة لديكم
Visitor,وفي حال تم حجز التذكرة على جواز ينتهي ١٥/٨/٢٠٢٣
Gemma,يجب ان لا يقل مدة صلاخية جواز سفركم عن 6 اشهر
,_______________________________
Visitor,في تأشيرة أو فيزا إلى قبرص اليونانية
Visitor,افيدوني بهذه الأمر وشكرا
Gemma,لا علاقة لنا بتأمين فيز للمسافرين
Visitor,فيزا سياحيه مثلا
Gemma,ليس لدينا فيز او رحلات الى اليونان
,_______________________________
Visitor,يعطيك العافية
Visitor,ازا حابب أحجز من المدينة المنورة إلى دمشق
Visitor,كيف الطريقة
Gemma,ليس لدينا رحلات من المدينة المنورة
Gemma,و انما فقط من الرياض أو جدة أو الدمام
