sender,sentences
Visitor,بدي شحن زيادة
Visitor,كيف فيني احجز ؟
,_______________________________
Visitor,الحجز اونلاين من الموقع ما عم يشتغل بعد ما ادخل المعلومات
,_______________________________
Visitor,مسا الخير
Visitor,أنا حاجز تلت تكتات ب19الشهر في مجال قربن ل16الشهر
Gemma,مساء النور
Gemma,عليكم التواصل مع مكتب الحجز للتأكد من توفر اماكن بالتاريخ المطلوب او الاقرب له
Gemma,و دفع رسوم التفيير
Visitor,ممكن أعرف منك شقد الرسوم بتطلع
Gemma,و الافضل التواصل مع المكتب بمدة لا تقل عن 24 ساعة من موعد الرحلة الاساسية
Gemma,منعا لزيادة الرسوم
Gemma,و هنا لا يوجد تفاصيل عن الرسوم
Gemma,و انما في المكتب او ضمن شروط التذكرة
Visitor,ولا فيكي تغيريلي يا أنت
Gemma,من المكتب فقط
Visitor,تمام مشكور
Gemma,اهلا و سهلا
,_______________________________
Visitor,كيف اعلم انه تم الحجز لديكم عن طريق المكتب
Gemma,ما هو رقم الحجز
Visitor,أين يكتب اذا سمحت
Gemma,في اعلى التذكرة
Visitor,في أعلى التذكرة كود
Gemma,احرف و ارقام
Gemma,و اسم المسافر لو سمحت
Visitor,بصراحة غير واضح
Visitor,نجوان محمود الحكيم وابني زيد ابو شديد
Gemma,ما بلد الانطلاق و الوصول للرحلة
Visitor,دمشق إلى الإمارات مطار الشارقة
Visitor,يوم الأحد ١٩ /٣
Visitor,الانطلاق ١١
Gemma,يرجى ارسال صورة رقم الحجز على رقم الواتس اب 00963992878787
Visitor,لم يعطي رقمك واتس اب
Gemma,عليكم حفظ الرقم
Gemma,و اجراء  تحديث
Visitor,بقائمة الاتصال لم يظهر واتس اب
Visitor,وجدت pnr
Gemma,يرجى الانتظار
Gemma,الحجز صحيح
Visitor,من دمشق الى الشارقة 19 الشهر الثالث
Gemma,و الاياب 14 الشهر الخامس
Gemma,و الحجز صحيح
Visitor,الحجز مثبت باسمي
Gemma,السيدة نجوان
Visitor,شكرا لك
Gemma,و الطفل زيد
Visitor,مشكورة جهودكم
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,ممكن استفسر عن حجز من الرياض الى دمشق الشهر الجاي
Visitor,كم المبلغ شخص مع طفل
Gemma,الرحلات ترانزيت عن طريق الكويت كل سبت و اثنين و اربعاء و خميس
Gemma,و تفاصيل الاسعار في المكتب
Gemma,تريدون مكاتب وكلائنا في الرياض
Visitor,مافي ترانزيت ع بيروت ؟؟
Gemma,فقط عن طريق الكويت
Visitor,مدة الانتظار في مطار الكويت كم ؟؟
Gemma,حوالي 3 ساعات
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,كم تكلفه شحن الاغراض من الكويت الى سوريا
Visitor,هلا فيك يعطيكم العافيه
Gemma,للاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على رقم الواتس اب/ 0096522444434 / او زيارته على العنوان س اب
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
Visitor,تمام شكرا لكم
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,السلام عليكم
Visitor,انا شخص سوري الجنسية
Visitor,اريد السفر الى مطار البصرة
Visitor,بأقرب رحله
Visitor,لدي اقامه
Visitor,الموعد و السعر لطفا
Gemma,و عليكم السلام
Gemma,رحلاتنا من دمشق الى البصرة كل يوم سبت
Gemma,و الحجز حسب توفر الاماكن
Visitor,سعر التذكرة لطفا
Visitor,ذهاب فقط
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,عذرا هنا لا يوجد معلومات عن الاسعار
Visitor,شكرا جزيلا
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,مرحبا  لو سمحتم اسفتسار طيران من بيروت الى دمشق بتاريخ ١٩.٠٦.٢٠٢٣ متوفر؟ واذا متوفر كم سعر التذكرة؟
Gemma,الرحلات كل يوم اربعاء
Gemma,و الحجز حسب توفر الاماكن
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,اذا كان الحجز من بيروت
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,هل يوجد رحلات الى لبنان
Gemma,رحلاتنا من دمشق او من حلب الى بيروت و بالعكس
Visitor,الايام والساعات ؟
Gemma,رحلاتنا من حلب الى بيروت و بالعكس كل يوم اربعاء
Visitor,رحلاتنا من دمشق الى بيروت كل ثلاثاء و الاياب كل اربعاء
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,تمام شكرا
Gemma,اهلا و سهلا
,_______________________________
Gemma,كيف يمكننا المساعدة؟
Visitor,اريد ان احجز رحلة بيروت- دمشق تاريخ 10/05/2023 ،  عندما ابحث على المواقع التي استلموها لي البارحة ومنهم موقع المسافر،  لا يوجد أي رحلات، وعندما ابحث على الموقع الرسمي يوجد رحلة
Gemma,اذا تم الحجز عن طريق موقعنا هل يوجد من طرفكم شخص في بيروت يمكن ان يراجع مكتب وكيلنا للدفع خلال مهلة الدفع و بناء على رقم الحجز
Visitor,للأسف لا يوجد في بيروت، لكن يوجد اخي في سوريا ؟ هل استطيع ان احجز الكترونيا ،وأخي يدفع من سوريا
Gemma,يمكن الحجز من المكتب في سوريا مباشرة
Gemma,و ليس عن طريق الموقع
Gemma,بوجود صورة عن جواز سفركم معه
Gemma,و الدفع لن يكون بالليرة لان بلد الانطلاق للرحلة ليس سوريا
Visitor,جواز السفر سويدي وليس جواز سفر سوري
Gemma,الافضل ان يتواصل مع المكتب لشرح الامر و اعطاءه الطريقة الانسب للحجز
Visitor,لا مشكلة بالدفع بالليرة او بالدولار ،ادفع بالطريقة التي تلزم لذلك
Gemma,للحجز و الاستفسار  يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على رقم الهاتف / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,يرجى المتابعة مع المكتب
Visitor,لقد ظهر لي الرحلة البارحة عن طريق موقع wego flyg
Visitor,واستطعت ان احجز، لكن لم أستطع ان أضيف حقيبة وزن
Gemma,الوزن موجود تلقائيا
Gemma,عند الحجز
Gemma,اكتمل الحجز؟
Visitor,مكتوب في تفاصيل الحجز انه يتضمن حقيبة يد فقط ، وانا املك حقيبة أخرى، لذلك لم أكن متأكد من أن الحجز صحيح
Visitor,نعم كان سوف يكتم لانه بقى فقط خطوة الدفع
Gemma,عند الحجز على رحلاتنا فانه تلقائيا تحصلون على حقيبة امتعة و حقيبة يد
Gemma,للدرجة السياحية؟
Visitor,حسنا ،شكرا لك ،سوف احاول مرة آخرى ،وإذا لم يتم ارسل اخي الي المكتب
Visitor,شكرا لك على المساعدة
Gemma,الوزن المسموح به لكل مسافر هو 30 كغ على الميزان و 7 كغ حقيبة يد
Gemma,للدرجة السياحية
Visitor,حسنا ،لم يظهر لي هذا التفصيل في الحجز ،ظهر فقط انه متضامن حقيبة يد ،
Gemma,و ان لم تذكر فهي مضافة
Gemma,و على درجة رجال الاعمال40 كغ على الميزان و 7 كغ حقيبة يد
Visitor,حسنا ،سوف احجز عن طريق موقع wego  اذا ،لأنني استطعت انا ادفع الكترونيا عن طريق هذا الموقع
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Gemma,كيف يمكننا المساعدة؟
Visitor,عدنا مسافر عراقي مقيم بسوريا و رجع للعراق وسوة جواز مرور من السفارة العراقية بدمشق عمرها 2 ونص وهسة بالعراق سوة جواز جديد بس تغير اللقب بالجواز جديد
Visitor,عودتهم اوبن مفتوح
Visitor,لبنتة عمرها
Visitor,سنتين ونصف
Visitor,هسة من يأكد عودة على الجواز القديم المرور لو الجواز الجديد الدائمي
Visitor,بس جواز المرور اكسباير استخدام مرة وحدة
Gemma,يرجى ترك اسم حضرتك و رقم عليه واتس اب للتواصل منها لطول انتظاركم ليتم الاستفسار من القسم المختص و تزويدكم بالرد
Visitor,كمال قاسم خلاوي / 07727725997
Gemma,مع الكود الدولي لو سمحت
Gemma,ممكن رقم الحجز
Gemma,سيتم تزويدكم بالرد فور توفره
Visitor,ممكن رقمكم البي واتساب
Visitor,جزيل الشكر
Visitor,ربي يحفظكم
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,مواعيد طيارات من الكويت الى دمشق خلال هالاسبوع؟
Gemma,الرحلات يومية و باوقات متفرقة
Visitor,موعد طياره الأربعاء؟
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
Gemma,يوم الاربعاء
Visitor,يكون الاقلاع من الكويت الساعة 18:00
Gemma,و الوصول الى دمشق الساعة 20:15
Visitor,و الثلاثاء؟
Gemma,للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Visitor,الاقلاع من الكويت الساعة 13:30
Gemma,و الوصول الى دمشق الساعة 15:45
Visitor,تمام شكرا يعطيك العافية🌹
Gemma,اهلا و سهلا
,_______________________________
,_______________________________
Visitor,عندي سؤال
Visitor,بدي احجز
Visitor,بشهر اغسطس
Visitor,غلي لزوجتي
Visitor,إلي ولزوجتي
Visitor,من الشام
Visitor,الى ارلياض
Visitor,مرورا بالكويت طبعا
Visitor,ولكن زوجتي حامل
Visitor,هل لما بتولد فيني أضيف الرضيع على التذكرة ؟
Visitor,انا حابب احجز من هلق لان التذاكر رخصية
Gemma,ما استفساركم؟
Visitor,بدي احجز الي ولزوجتي من الشام للرياض
Visitor,وحابب احجز من هلق
Visitor,ولكن زوجتي حامل ورح تولد بسوريا
Gemma,دقيقة لو سمحت
Visitor,هل فيني ضيف الرضيع او لا
Gemma,لا يوجد مشكلة
Visitor,و بعد الولادة يتم عمل جواز سفر للرضيع و يتم مراجعة المكتب الذي تم منه الحجز لاضافة الرضيع
Visitor,شكرا كتير وايش بياخدو عإضافة الرضيع اديش بالمية ؟
Gemma,يمكن الاستفسار عن الرسوم من المكتب
Visitor,سؤال اخير
Visitor,هلق في مكتب بالرياض تابع لكم ؟
Gemma,يوجد وكلاء
Visitor,بتي رقم وكيل ؟
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في الرياض :
Visitor,# مكتب لمار للسفر - الرياض - الفرع الرئيسي - حي الورود - شارع العروبة - هاتف / 00966114193222 /
