sender,sentences
Visitor,انا بسافر من موسكو ل سوريا حابب اعرف سعر الوزن الزائد كم حيكون
Visitor,لكل كيلو
,_______________________________
Visitor,بس اختار طريقة الدفع
Visitor,يطلعلي PAGE ERUR
,_______________________________
,_______________________________
Visitor,لوسمحت بدي احجز من الرياض الى دمشق
Gemma,الرحلات ترانزيت عن طريق الكويت
Visitor,طيب ايمت في رحلات بشهر اربعة
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكلائنا في الرياض :
Visitor,# مكتب لمار للسفر - الرياض - الفرع الرئيسي - حي الورود - شارع العروبة - هاتف / 00966114193222 /
Visitor,# مكتب الشاهين للسياحة و السفر - الرياض - شارع الملك فهد - العليا - هاتف / 00966114651115 / او  / 00966554798145 / او / 00966506210409 / او  / 00966566660260 / 
Visitor,# مكتب عطلاتي غير للسياحة و السفر - الرياض - حي النخيل - شارع سالم بن معقل - جانب حلويات اوبرا - هاتف / 00966538004840 / 
Visitor,# مقر العالم للسفريات - الرياض - حي العليا - شارع موسى بن نصير - عمائر السيريكون رقم / 2 / - الدور الأرضي / 00966114818619 /
Visitor,# آفاق دمشق للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966568709247 / أو / 00966112264774 / 
Visitor,# أجنحة الدولية  للسفر و السياحة - النسيم - شارع أبو هريرة - هاتف / 00966540822226 / أو / 00966542548964 / أو / 00966112266609 /
Visitor,# وكالة تاج الماسة للسفر و السياحة - حي النهضة - الروضة - تقاطع شارع الأمير بندر مع سلمان الفارسي - هاتف / 00966112314145 / أو / 00966543738539 / أو / 00966550442102 / 
Visitor,# أبراج الشموخ - حي السويدي - الدائري الرابع - هاتف / 00966534776209 / أو / 00966114535981 /
Visitor,# وكالة الدليل للسفر و السياحة - شارع الأمير بندر - هاتف / 00966546114607 /
Gemma,الرحلات كل سبت و اثنين و اربعاء و خميس
Visitor,تمام الله يعطيكم العافية
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,لو سمحت سعرة تذكرة من دمشق للكويت خلال هالاسبوعين
Visitor,ذهاب و اياب
Gemma,تتفاوت الأسعار حسب نوع التذكرة و تاريخ الرحلة 
Visitor,و للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
Gemma,للحجز و الاستفسار يمكنكم التواصل مع مكتبنا الرئيسي في دمشق على الرقم الرباعي / 8011 / أو / 9211 / او زيارتنا على العنوان :
Visitor,# دمشق - شارع الفردوس - بناء فيليبس - الطابق الارضي
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Visitor,في طيارات هالاسبوع?
Visitor,من الخميس للسبت
Gemma,الرحلات يومية و الحجز حسب توفر الأماكن
Visitor,يوم الجمعة اي ساعة
Visitor,و سعر التذكرة?
Gemma,يكون الاقلاع من دمشق الساعة 10:20 صباحا و الوصول الى الكويت الساعة 12:30 ظهرا
Visitor,سهر التكت?
Visitor,ذهاب و اياب كما ذكرت
Gemma,ليس لدينا هنا تفاصيل هن الأسعار و انما في المكتب المعطى لكم او عن طريق رابط الحجز
Visitor,شكرا جزيلا
Gemma,اهلا و سهلا
Visitor,لو سمحت بعتتلي رقم للاستفسار بدمشق
Visitor,بدي يلي بالكويت كمان
Gemma,دقيقة من فضلك
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
Visitor,شكرا يعطيك العافية
Gemma,اهلا و سهلا
,_______________________________
Visitor,يمكن معرف سعر تذكرة طيران
Gemma,ما هو بلد الانطلاق و الوصول للرحلة المطلوبة؟
,_______________________________
Visitor,في شحن من الكويت الي سوريا
Visitor,موجودين فين في الكويت
Visitor,ممكن رقم الهاتف لتواصل
Gemma,للاستفسار يمكنكم التواصل مع وكيلنا في الكويت مالك للسياحة و السفر على الرقم / 0096522444434 / او زيارته على العنوان :
Visitor,# مدينة الكويت - القبلة - شارع علي السالم - عمارة الثويني - الدور الاول - جانب الادارة العامة للاطفاء 
Visitor,خلال اوقات الدوام من السبت الى الخميس من الساعة / 8:30 / حتى الساعة / 20:30 /
Gemma,اهلا و سهلا
,_______________________________
Visitor,Thabet El Debuch: هل يمكنني تغير حجزي انا لا اعلم معلومات الحجز
Visitor,Thabet El Debuch: الحجز باسم Thabet El Debuch
Visitor,Thabet El Debuch: او هل يمكنني انشاء حجز جديد بنفس الاسم
Gemma,ما هو بلد الانطلاق و الوصول للرحلة
Gemma,و هل اكتمل الحجز  و الدفع
Gemma,كيف تم الحجز
Visitor,Thabet El Debuch: الانطلاق الشارقة
Visitor,الوصول دمشق
Visitor,Thabet El Debuch: لم يكتمل الدفع
Visitor,Thabet El Debuch: تم الوضع على الانتظار للدفع
Visitor,Thabet El Debuch: تم الحجز عن طريف الموقع
Gemma,ما الخطأ الذي حصل معكم اثناء الحجز
Visitor,Thabet El Debuch: المعلومات المدخلة غير صحيحة
Visitor,Thabet El Debuch: فقت الاسم صحيح
Visitor,Thabet El Debuch: فقط*
Gemma,بما ان المعلومات غير صخيحة و لم يتم الدفع فيمكنكم الانتظار لانتهاء مهلة الدفع و القيام بحجز جديد
Visitor,Thabet El Debuch: كم هي المهلة ؟
Gemma,او يمكنكم محاولة الحجز مجددا مع الانتباه لادخال معلومات صحيحة و الاحتفاظ برقم الحجز الذي سيظهر للدفع بنوجبه عن طريق الاتصال بمكتب ستتريون
Gemma,لكل حجز مهلة مختلفة ووسطيا تكون 48 ساعة او اكثر
Gemma,حاليا يمكنكم محاولة الحجز مجددا
Visitor,اذا اعطى ملاحظة وجود حجز بنفس الاسم اذا عليكم الانتظار لانتهاء المهلة
Visitor,Thabet El Debuch: هل يمكنني الدفع عن طريق فاتورة او من دمشق بمكتب اجنحة الشام ؟
Gemma,و اذا لم يعطي فيمكنكم اتمام الحجز الجديد و التحتفاظ بآخر نافذة فيها رقم الحجز و مدة مهلة الدفع
Gemma,اذا كان بلد الانطلاق للرخلة الامارات فيكون الدفع في مكتب دبي
Gemma,و اما اذا اردتم الدفع في سوريا
Gemma,فيجب الحجز من المكتب مباشرة من قبل شخص من طرفكم معه صورة عن جواز سفركم
Gemma,و الدفع لن يكون بالليرة
Gemma,لان بلد الانطلاق ليس سوريا
Visitor,Thabet El Debuch: اعطاني 
Visitor,ملاحظة وجود حجز بنفس الاسم
Visitor,Thabet El Debuch: هل يمكنني الدفع بالدولار بالامارات؟
Gemma,اذا عليكم الانتظار لانتهاء المهلة للحجز من سوريا او عن طريق للموقع و الدفع بالامارات
Gemma,في الامارات بالدرهم
Gemma,و في سوريا بالدولار
Gemma,لذلك عليكم اختيار طريقة الحجز الانسب لكم كما تم شرح الخطوات لحضرتك في الاجابات السابقة
Visitor,Thabet El Debuch: شكرا ل
Visitor,Thabet El Debuch: ك
Gemma,اهلا و سهلا
,_______________________________
Visitor,السلام عليكم 
Visitor,لقد سجلت باسم 
Visitor,وكانت المعلومات مغلو
Visitor,مغلوطة *
Visitor,Thabet El Debuch: كيف يمكنني تصحيح المعلومات
Gemma,و عليكم السلام
Gemma,هل تم اتمام عملية الحجز و الدفع
,_______________________________
Visitor,سعر تكت الطيران من اربيل الى دمشق
Gemma,تتفاوت الاسعار حسب نوع التذكرة و تاريخ الرحلة
Gemma,للحجز و الاستفسار يمكنكم التواصل مع وكيلنا في أربيل :
Visitor,# شركة زوزك للطيران - شارع كولان - طريق القرية الانكليزية - خلف مقهى كوستاريكا
Visitor,هاتف / 009647501000405 / أو / 009647501000406 /
Visitor,خلال أوقات الدوام من السبت الى الخميس من الساعة / 9 / حتى الساعة / 17 /
Gemma,او للحجز و الاطلاع على المواعيد و  الاسعار يمكنكم زيارة موقع شركتنا الالكتروني على الرابط :
,_______________________________
Visitor,السلام عليكم
Gemma,و عليكم السلام
Visitor,لو سمحت عندي رحلة من الشارقة الى دمشق ب 20-03
Visitor,عم يخبرني مكتب الحجز انو الرحلة يمكن التغت
Gemma,ممكن رقم الحجز
Gemma,يرجى الانتظار
Gemma,اسم المسافر
Gemma,الرحلة في موعدها يوم 20 الشهر من الشارقة الى دمشق
